directory,category,region,bestUseCase
Santa Monica Active Business Licenses,Business Licence,United States,Santa Monica local-business targeting
Henderson Active Business Licenses,Business Licence,United States,Henderson/Las Vegas-area SMB targeting
Fayetteville AR Active Business Licenses,Business Licence,United States,Fayetteville active-business targeting
New Orleans Active Occupational Licenses,Business Licence,United States,Orleans Parish active-business targeting
Baton Rouge EBR Registered Businesses,Business Licence,United States,Baton Rouge business targeting by NAICS
Kansas City Business License Holders,Business Licence,United States,Kansas City SMB targeting
Berkeley Business Licenses,Business Licence,United States,Berkeley SMB and nonprofit targeting
Hartford Business Listing,Business Licence,United States,Hartford SMB targeting
Chattanooga Business License,Business Licence,United States,Chattanooga local-business targeting
NYC Legally Operating Businesses,Business Licence,United States,NYC regulated SMB targeting by category
NYC License Applications,Business Licence,United States,Newly applying or recently approved NYC businesses
San Francisco Registered Business Locations,Business Licence,United States,SF/Bay Area SMB targeting
Chicago Business Licenses,Business Licence,United States,Chicago SMB and regulated-category targeting
San Diego Business Tax Certificates,Business Licence,United States,San Diego business universe by NAICS
Philadelphia L&I Business Licenses,Business Licence,United States,Philadelphia regulated SMBs
Miami-Dade Business Tracker / Local Business Tax,Business Licence,United States,Miami-Dade new/closed business triggers
Miami-Dade LocalBusinessTax Feature Layer,Business Licence,United States,Machine-readable Miami-Dade business-location pulls
Seattle SDCI Permit Records,Building Permit,United States,"CRE financing, construction lending, tenant improvement vendors"
King County Permit Record Search,Building Permit,United States,County-level construction targeting
Snohomish County Permit Reports,Building Permit,United States,Construction and contractor targeting in Snohomish
Portland Permit Records,Building Permit,United States,Portland construction and renovation targeting
Salt Lake City Permit Research,Building Permit,United States,SLC construction and expansion targeting
NYC DOB Permit Issuance,Building Permit,United States,"Contractors, developers, architects, construction finance"
Los Angeles Building Permits Since 2012,Building Permit,United States,"LA construction, commercial alteration, project-finance"
Los Angeles Building Permit Information Data,Building Permit,United States,Permit-value and project-stage targeting
Philadelphia L&I Building and Zoning Permits,Building Permit,United States,Philadelphia project activity
California CSLB Contractor Search,Contractor Licence,United States,"CA contractor targeting - insurance, financing, software, recruiting"
CSLB Public Data Portal,Contractor Licence,United States,Bulk CA contractor list building
Washington L&I Contractor Verification,Contractor Licence,United States,WA contractor targeting
Oregon Building Codes Division,Contractor Licence,United States,OR contractor targeting
Georgia Licensing Board,Contractor Licence,United States,GA contractor targeting
Florida DBPR License Search,Contractor Licence,United States,"Contractors, real estate, food/lodging, salons, professional services"
Washington WEBS Vendor System,Vendor Registry,United States,"WA vendor targeting - proposal writing, compliance, bonding"
Illinois Procurement Gateway,Vendor Registry,United States,IL procurement-aware company targeting
NevadaEPro Vendor Registration,Vendor Registry,United States,NV vendor targeting
DuPage County Supplier Directory,Vendor Registry,United States,DuPage County vendor targeting
King County Supplier Portal,Vendor Registry,United States,King County WA vendor targeting
Prince Georges County Vendor Resources,Vendor Registry,United States,PG County MD contract-vendor targeting
FCC Universal Licensing System,Vendor Registry,United States,Companies operating radio systems
FAA National DBE/ACDBE Directory,Diverse Supplier,United States,"DBE/ACDBE companies - procurement, bonding, compliance"
U.S. DOT State DBE Directory Links,Diverse Supplier,United States,State-level DBE targeting
California Certified Business Registry,Diverse Supplier,United States,CA certified business targeting
Washington OMWBE Directory,Diverse Supplier,United States,WA MBE/WBE targeting
NYC Certified Business List,Diverse Supplier,United States,NYC certified business targeting
NMSDC MBE Search,Diverse Supplier,United States,National MBE targeting
USAspending Federal Award Search,Grant & Award,United States,Companies receiving federal money
USAspending Recipient Trend Profiles,Grant & Award,United States,Award trend targeting
DOE Clean-Energy Grant Recipients,Grant & Award,United States,Clean energy company targeting
Infrastructure Grant Recipients,Grant & Award,United States,Infrastructure company targeting
EPA Facility Registry Service,Environmental,United States,"Industrial operator targeting - compliance automation, insurance"
EPA FRS Advanced Query,Environmental,United States,Niche industrial facility targeting
EPA ECHO Facility Search,Environmental,United States,Regulated facility targeting with compliance burden signal
EPA Risk Management Plan Data,Environmental,United States,High-hazard industrial facility targeting
EPA RCRA Hazardous Waste Data,Environmental,United States,Waste generator targeting
OSHA Establishment Search,Environmental,United States,"Safety consultants, HR, compliance, insurance, industrial services"
MSHA Mine Data Retrieval System,Environmental,United States,"Mining operators - equipment, safety, staffing, compliance, capital"
PHMSA Hazmat Registration Company Search,Environmental,United States,"Hazmat carriers, chemical distributors, safety/compliance"
FDA Drug Establishments Current Registration Site,Environmental,United States,"Pharma manufacturing, QA, regulatory, compliance services"
FDA Medical Device Establishment Registration & Listing,Environmental,United States,"Medical device manufacturers/importers - regulatory, quality, ISO"
USDA FSIS Inspection Directory,Food & Agriculture,United States,"Food manufacturer targeting - compliance, ERP, equipment, recruiting"
ADPI Find a Supplier Directory,Food & Agriculture,United States,Dairy ingredient manufacturers and suppliers
CFIA Federally Registered Meat Establishments,Food & Agriculture,Canada,Canadian food processor targeting
CFIA Food Export Registers,Food & Agriculture,Canada,Export-eligible Canadian food company targeting
Alberta Agri-Processing Directory,Food & Agriculture,Canada,Alberta food/ag processor targeting
USDA Organic Certification Directory,Food & Agriculture,United States,Organic food company targeting
Food Processing Supplier Directory,Food & Agriculture,United States,"Food manufacturer targeting - services, ERP, compliance"
Seafood Expo Directories,Food & Agriculture,Global,"Seafood company targeting - compliance, cold chain, financing"
UK Food Hygiene Rating Scheme API,Food & Agriculture,UK,"UK restaurants, cafes, takeaways, hotels, supermarkets, care homes"
TABC Public Inquiry,Food & Agriculture,United States,"Texas bars, restaurants, package stores, distributors, breweries"
Texas Mixed Beverage Sales Receipts,Food & Agriculture,United States,High-revenue hospitality targeting
California ABC License Lookup,Food & Agriculture,United States,"Restaurants, bars, wineries, distributors, retailers"
NYS Liquor Authority Active Licenses,Food & Agriculture,United States,"NY bars, restaurants, liquor stores, breweries, distributors"
NPPES NPI Registry (Extended),Healthcare (Ext),United States,Fine-grained healthcare provider targeting by specialty
CMS Provider Data Catalog (Extended),Healthcare (Ext),United States,Bulk healthcare targeting - downloadable datasets
CMS Nursing Home Datasets,Healthcare (Ext),United States,"Nursing home targeting - staffing, compliance, financing"
CMS Home Health Datasets,Healthcare (Ext),United States,"Home health targeting - recruiting, billing, AI documentation"
Assisted Living Directories,Healthcare (Ext),United States,"AL facility targeting - staffing, technology, compliance"
SAMHSA Behavioral Health Directory,Healthcare (Ext),United States,"BH facility targeting - EHR, staffing, billing, AI documentation"
CQC Active Locations / Care Directory Data,Healthcare (Ext),UK,"Care homes, dentists, GPs, hospitals, home care agencies"
CMS Doctors and Clinicians National Downloadable File,Healthcare (Ext),United States,Healthcare practices and specialty clinics
NY Medicaid Enrolled Provider Listing,Healthcare (Ext),United States,New York healthcare providers and facilities
NCES Global School Locator,Education (Ext),Global,International education institution targeting
NAIS Private School Directory,Education (Ext),United States,Private school targeting
Apprenticeship.gov Sponsor Finder,Education (Ext),United States,"Apprenticeship sponsor targeting - HR tech, recruiting, payroll"
SEC IAPD Investment Adviser Search,Financial & Insurance,United States,"RIA and investment adviser targeting - technology, compliance, lead gen"
FINRA BrokerCheck,Financial & Insurance,United States,Broker-dealer and financial firm targeting
IBAT Find a Supplier,Financial & Insurance,United States,"Banking vendors - fintech, payments, cybersecurity, lending, compliance"
Canadian National Registration Search,Financial & Insurance,Canada,Canadian investment adviser and dealer targeting
CIRO Advisor/Firm Lookup,Financial & Insurance,Canada,Canadian investment dealer targeting
Washington Insurance Agent Lookup,Financial & Insurance,United States,WA insurance agent targeting
BC Insurance Council Directory,Financial & Insurance,Canada,BC insurance professional targeting
Ontario RIBO Brokerage Directory,Financial & Insurance,Canada,Ontario insurance broker targeting
NCUA Research a Credit Union,Financial & Insurance,United States,"Credit union targeting - technology, compliance, fintech"
